Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw],Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Record/Post/DC1_CommentDesc0,Text,,걍 다같이 죽자 ㅋㅋㅋ 세계 개같이 멸망 ㅋㅋㅋㅋㅋㅋㅋㅋ,"Le monde est fini, alors autant mourir tous ensemble LOOOOOL",もうだめだぁ…おしまいだぁ…,都别活了！！毁灭吧，赶紧的，累了！！！,都別活了！ ！毀滅吧，趕緊的，累了！ ！ ！,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc1,Text,,깨어있기 운동인지 뭔지 사람들이 하던데 그건 뭐임?,J'ai vu des gens rejoindre un mouvement appelé « Stay Awake ». Quelqu'un sait de quoi il s'agit ?,睡眠拒否運動って勧誘されたけどあれなに？,听说最近有人在搞什么反冷冻运动，那是干嘛的?,聽說最近有人在搞什麼反冷凍運動，那是幹嘛的?,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc2,Text,,<space=50>냉동수면 안하고 지하철에서 모여서 산다던가 그러더라,<space=50>J'ai entendu dire que ce sont des gens qui refusent la cryogénisation et vivent dans une station de métro.,<space=50>冷凍睡眠に入らずに地下鉄の中に引きこもるって。,<space=50>据说是不愿意去冷冻睡眠的人，准备聚在地铁生活,<space=50>據說是不願意冷凍睡眠的人，準備聚在地鐵生活,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc3,Text,,<space=50>그게 현실적으로 가능함?,<space=50>C'est vraiment possible de survivre au froid comme ça ?,<space=50>え？そんなこともできるの？,<space=50>这可行嘛？,<space=50>這可行嘛？,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc4,Text,,<space=50>ㅁㄹ,<space=50>Aucune idée..,<space=50>知らん,<space=50>不知道唉,<space=50>不知道唉,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc5,Text,,피터놈 진짜 찢어 죽이고 싶네,J'ai tellement envie de tuer Peter.,ピーター氏ね,皮特这个XX我想弄死他,皮特這個XX我想弄死他,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentDesc6,Text,,<space=50>진짜 누가 정의구현좀 안해주냐?,<space=50>Des volontaires assez courageux pour lui faire payer ?,<space=50>マジで誰か正義執行頼むぞ？,<space=50>就没有人伸张正义吗？,<space=50>就沒有人伸張正義嗎？,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter0,Text,,제니르,Jennier,ジェニル,姬麟黑,姬麟黑,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter1,Text,,빅터v,VictorV,ヴィクターv,维克多v,維克多v,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter2,Text,,<sprite name=Icon>나는짱,<sprite name=Icon>ImTheBest,<sprite name=Icon>俺様最強,<sprite name=Icon>我做我的王,<sprite name=Icon>我做我的王,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter3,Text,,<sprite name=Icon>빅터v,<sprite name=Icon>VictorV,<sprite name=Icon>ヴィクターv,<sprite name=Icon>维克多v,<sprite name=Icon>維克多v,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter4,Text,,<sprite name=Icon>나는짱,<sprite name=Icon>ImTheBest,<sprite name=Icon>俺様最強,<sprite name=Icon>我做我的王,<sprite name=Icon>我做我的王,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter5,Text,,화난당근,FuriousCarrot,おこりざる,愤怒的胡萝卜,憤怒的胡蘿蔔,,,,,,,,,,,,,,,,,,
Record/Post/DC1_CommentWriter6,Text,,<sprite name=Icon>히어로,<sprite name=Icon>Hiro,<sprite name=Icon>ヒーロー,<sprite name=Icon>幻象超人,<sprite name=Icon>幻象超人,,,,,,,,,,,,,,,,,,
Record/Post/DC1_Desc,Text,,"아니 결국 피터 때문에 인류 멸망하는거나 마찬가지인데
그렇게 안전하다고 자랑해놓고 이제와서 결함이 생기는게 말이 되냐고
ㅅㅂ개빡치는데 밖은 얼어 뒤지겠고 안그래도 심란한데 개소리까지 들으니까 정신 나갈것 같다","On va tous disparaître à cause de Peter. Le fils de pute..
Il nous avait promis qu'on serait en sécurité, et maintenant on apprend qu'il y a un défaut ?
ET PUTAIN mais ça caille, je vais clamser si ça continue ! 
Et maintenant cette merde... Je vais finir par devenir fou.","結局ピーターのせいで人類は滅亡するんだろ？
めっちゃ自慢してた冷凍睡眠ポッドに今更欠陥？
外は寒いし、俺たちにできることもないんじゃ、どうすりゃいいのさ？","现在就相当于说人类要被皮特搞灭亡了
之前不是信誓旦旦地说绝对安全吗，这会儿突然曝出有缺陷就很离谱
我TM真的是火大，外面又冷的要死，这是要把人逼疯的节奏","現在就等於說人類要被皮特搞滅亡了
之前不是信誓旦旦地說絕對安全嗎，這會兒突然曝出有缺陷就很離譜
我TM真的是火大，外面又冷的要死，這是要把人逼瘋的節奏",,,,,,,,,,,,,,,,,,
Record/Post/DC1_RecordDesc,Text,,"냉동수면 포드에 관한 기사가 퍼진 이후, 세계는 혼돈에 빠진다. 그 때 당시 저장된 인터넷 페이지의 기록이다.","Le monde sombre dans le chaos après la révélation du défaut des capsules de cryogénisation. 
Cette page de forum a été archivée à cette époque.",冷凍睡眠ポッドの欠陥に対するニュースが流れた後、世界は混乱に陥った。これは、その時保存されたネットの状況の記録である。,关于冷冻睡眠舱的报道播出后，世界陷入了一片混乱之中。这是当时保存的网页记录。,關於冷凍睡眠艙的報導播出後，世界陷入了一片混亂之中。這是當時已儲存的網頁記錄。,,,,,,,,,,,,,,,,,,
Record/Post/DC1_RecordTitle,Text,,저장된 페이지,Page de forum archivée,保存されたWEBページ,保存的网页,儲存的網頁,,,,,,,,,,,,,,,,,,
Record/Post/DC1_Title,Text,,이딴 어처구니 없는 경우는 처음이네 ㄹㅇ,"Mais qu'est-ce qui se passe, bordel ?",こんなふざけた状況は初めてだな,这也太离谱了，真的是活久见,這也太離譜了，我到底看了什麼,,,,,,,,,,,,,,,,,,
Record/Post/DC1_Writer,Text,,털복숭이,FurryMonkey,毛だるま,草莓味樱桃,草莓風味櫻桃,,,,,,,,,,,,,,,,,,
Record/Post/DC1_Year,Text,,Ç}±ßóüwL년 11월 17일,"Année Ç}±ßóüwL, 17 novembre",Ç}±ßóüwL年11月17日,Ç}±ßóüwL年11月17日,Ç}±ßó üwL年11月17日,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc0,Text,,너도 그생각함?ㅋㅋㅋㅋ 이 새끼들 ㄹㅇ 뭔가 있다니까. 다 연결됨,Toi aussi tu penses ça ? Je te dis qu'il y a un putain de complot digne d'un film de science-fiction. Tout est lié.,やっぱりそうだろ？ｗｗｗこいつら絶対なにかあるって。全部繋がってんだよ,我也这么觉得哈哈哈，这帮人很可能在下一盘大棋。,我也這麼覺得哈哈哈，這群人很可能在下一盤大棋。,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc1,Text,,우리가 쓰는 폰도 NOVA꺼인거 알지? 이새끼 곧 NOVA에서 잡으러 올듯ㅋㅋ,"Vous vous rendez compte que tous nos téléphones sont fabriqués par NOVA, pas vrai ? Ce type est le prochain sur la liste noire de NOVA LOL",お前のスマホもどうせNOVA製だろ？次のNOVA社のターゲットは決まったなｗｗｗ,我们用的手机也是NOVA产的，这人马上就要被查水表了哈哈。。,我們用的手機也是NOVA產的，這人馬上就要被查水錶了哈哈。 。,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc2,Text,,<space=50>???:이래서 눈치 빠른 녀석은 싫다니까,"<space=50>Ne restez pas trop près de votre téléphone, il va exploser d'une minute à l'autre.",<space=50>???：君のような勘のいいガキは嫌いだよ。,<space=50>？？？：看破不说破,<space=50>？ ？ ？ ：看破不說破,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc3,Text,,이런 생각 하는 사람들 생각보다 많네,"Waouh, cette théorie est bien plus populaire que je ne l'imaginais.",お前らもそう思った？,看来有这种想法的人还挺多,看來有這種想法的人還蠻多,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc4,Text,,ㅈㄹ억까 너무 심한데,"Comme d'habitude, un ramassis de troglodytes sur les forums.",そんなわけあるかい！,得了吧，别搞阴谋论这一套,得了吧，別搞陰謀論這套,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc5,Text,,냐아아 도키도키시테타,NANIIII TROP HYPÉ XDDDDDD,にゃああ~ どきどきしてきた,我永远喜欢七海千秋,我永遠喜歡七海千秋,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc6,Text,,아무리 그래도 이게 말이 돼냐? 그런다고 걔들이 뭔 이득이 있음? 인류 다 멸먕하는데,En quoi ça aurait le moindre sens ? Qu'est-ce qu'ils gagneraient à anéantir la planète ?,いくら何でもそれはないな。NOVA社に何の得があるんだ？本島に滅ぶぞ？,虽然但是。。没什么道理吧？这对他们有什么好处？人类都要灭亡了,雖然但是。 。沒什麼道理吧？這對他們有什麼好處？人類都要滅亡了,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc7,Text,,<space=50>NOVA사 알바 불탄 연구소에서 검거,<space=50>Employé de NOVA arrêté dans le laboratoire en flammes.,<space=50>NOVA社のバイトが研究所跡で逮捕されたんだが,<space=50>NOVA公司非正式员工在烧毁的研究所被逮捕,<space=50>NOVA公司非正式員工在燒毀的研究所被逮捕,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc8,Text,,<space=50>NOVA 명예직원 새끼들 얼어뒤지기 직전까지 열일하는중,<space=50>Les employés de NOVA continuent de lécher les bottes jusqu'à en mourir gelés.,<space=50>NOVA信者が顔真っ赤かよ　凍死するまでやってる気か？,<space=50>NOVA的社畜们还在努力工作呢,<space=50>NOVA的社畜還在努力工作呢,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentDesc9,Text,,<space=50>돼x 되o,"<space=50>Hum, en fait, votre grammaire est incorrecte.",<space=50>本当を本島と書くあほは滅んでいいぞ,<space=50>打工人打工魂，打工打到世界末日,<space=50>打工人打工魂，打工打到世界末日,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter0,Text,,배드송,BadSong,バッドソング,流影之歌,流影之歌,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter1,Text,,플루토니스,plutonis,プルトニス,天空星斗,天空星鬥,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter2,Text,,<sprite name=Icon>AA후라임,<sprite name=Icon>AAPrime,<sprite name=Icon>AAプライム,<sprite name=Icon>AA御坂美琴,<sprite name=Icon>AA禦坂美琴,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter3,Text,,찢어진날개,Torn_Wings,翼をください,毁灭之翼,毀滅之翼,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter4,Text,,konkonK,konkonK,konkonK,konkonK,konkonK,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter5,Text,,しゅが?はぁと☆,しゅが?はぁと☆,しゅが?はぁと☆,しゅが?はぁと☆,しゅが?はぁと☆,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter6,Text,,진짜선비,RealSunby,侍,梵高先生,梵谷先生,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter7,Text,,<sprite name=Icon>익명42,<sprite name=Icon>Anonymous42,<sprite name=Icon>ななし42,<sprite name=Icon>匿名42,<sprite name=Icon>匿名42,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter8,Text,,<sprite name=Icon>배드송,<sprite name=Icon>BadSong,<sprite name=Icon>バッドソング,<sprite name=Icon>流影之歌,<sprite name=Icon>流影之歌,,,,,,,,,,,,,,,,,,
Record/Post/DC2_CommentWriter9,Text,,<sprite name=Icon>우주대법관,<sprite name=Icon>MrMagnificent,<sprite name=Icon>宇宙審判官,<sprite name=Icon>宇宙大法官,<sprite name=Icon>宇宙大法官,,,,,,,,,,,,,,,,,,
Record/Post/DC2_Desc,Text,,"뜬금없이 이상기후인 것도 그렇고
냉동수면으로 살 수 있다고 홍보해놓고 지금 와서 결함이 발견된 것도 그렇고
NOVA 정도의 기술력이면 뭔가 뒤가 있을 것 같지 않음?
아님 말고","Les changements climatiques sont arrivés sans le moindre avertissement.
On nous a dit que la cryogénisation nous permettrait de survivre, et maintenant on découvre soudainement qu'il y a un défaut.
Avec la technologie de NOVA, il est peut-être possible qu'ils complotent quelque chose.
Qui sait...","急に異常気象とか起きるのも怪しい。
冷凍睡眠ポッドなら大丈夫って言っておいて今更欠陥が発見されたのも怪しい。
NOVAの技術力でこんなことも予想できなかったと？
これは絶対何かあるな。","总感觉这事儿太蹊跷了，突然就开始气候异常
之前大力宣传冷冻睡眠，这会儿又曝出系统有缺陷
以NOVA的技术，我觉得肯定没这么简单，等着看后续吧。
（纯属猜测）","總覺得事有蹊蹺，突然就開始氣候異常
之前大力宣傳冷凍睡眠，現在又曝出系統有缺陷
以NOVA的技術，我覺得肯定沒這麼簡單，等著看後續
（純屬猜測）",,,,,,,,,,,,,,,,,,
Record/Post/DC2_Title,Text,,념글요청) 사실 모두 NOVA의 계획이 아닐까?,Et si tout cela faisait partie du plan de NOVA ?,【悲報】全てNOVAの計画通りであった。,申精）有没有可能这些都是NOVA的计划？,申請精華）有沒有可能這些都是NOVA的計畫？,,,,,,,,,,,,,,,,,,
Record/Post/DC2_Writer,Text,,익명1452,Anonymous1452,ななし1452,匿名1452,匿名1452,,,,,,,,,,,,,,,,,,
Record/Post/DC3_CommentDesc0,Text,,ㅠㅜ,（´；ω；｀）,（´；ω；｀）,哭了。。,哭了。 。,,,,,,,,,,,,,,,,,,
Record/Post/DC3_CommentDesc1,Text,,사회가 무너질때... 우리는 깨어난다.,Quand la société s'effondre... Nous nous relèverons.,俺たちの戦いは…これからだ！,当社会分崩离析，我们将挺身而出。,當社會分崩離析，我們將挺身而出。,,,,,,,,,,,,,,,,,,
Record/Post/DC3_CommentDesc2,Text,,난 노래방가서 봉인해제하고 실컷 부르고 싶다.,J'ai envie d'aller au karaoké.,ヒトカラ行きたい,我只想去KTV唱到爽,我只想去KTV唱到爽,,,,,,,,,,,,,,,,,,
Record/Post/DC3_CommentWriter0,Text,,에어팡,AirPang,エアロ,半堂风,半堂風,,,,,,,,,,,,,,,,,,
Record/Post/DC3_CommentWriter1,Text,,커뮤니티중독자,forum_addict,コミュ充,古代光之战士,古代光之戰士,,,,,,,,,,,,,,,,,,
Record/Post/DC3_CommentWriter2,Text,,리그렛샤,rigeuressya,リグレット,谜样露仁,謎樣露仁,,,,,,,,,,,,,,,,,,
Record/Post/DC3_Desc,Text,,"밖에는 미친놈들 많아서 나가기도 무섭고...
마트는 이미 다 털렸겠지? 배고프다...
바다 건너는 인터넷도 다 끊긴거같던데...
우리도 이제 얼마 안남은거같음...","Il y a trop de fous du bus dehors...
Les supermarchés sont probablement tous vides maintenant. Je meurs de faim...
On dirait que la connexion Internet est complètement coupée à l'étranger...
Il ne nous reste plus beaucoup de temps non plus...","外は目がいってる奴しかいないから怖いし。
もうコンビニにも何もないはずだろ？
ネットも切れたところもあるみたいだし。
マジでおしまいなんだな…","外面疯子太多了不敢出门。。。
超市应该都被抢光了吧？好饿。。。
国外好像已经没网了。。。
我们估计也快了吧。。。","外面瘋子太多了不敢出門。 。 。
超市應該都被搶光了吧？好餓。 。 。
國外好像已經沒網了。 。 。
我們估計也快了吧。 。 。",,,,,,,,,,,,,,,,,,
Record/Post/DC3_Title,Text,,먹을거 많이 사둘걸 그랬다,J'aurais dû faire des réserves de nourriture.,食料買っておけばよかった…,早知道就多囤点货了。,早知道就多囤點貨了。,,,,,,,,,,,,,,,,,,
Record/Post/DC3_Writer,Text,,마린,Marin,マーリンズ,焖饼,燜餅,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentDesc0,Text,,"동감. 국제연합에서 계속 하라고 하는데, 그냥 하는게 낫지 않나 싶음.","Je suis d'accord. L'ONU n'arrête pas de nous le recommander, alors je ne vois pas pourquoi on ne le ferait pas.",同感。国連がやれってんならやった方がよくね？,+1 联合国还是建议冷冻睡眠的，我看还是跟着做的比较好。,+1 聯合國還是建議冷凍睡眠的，我看還是跟著做的比較好。,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentDesc1,Text,,"<space=50>진짜 뭐가 맞는지 모르겠다... 그래도 대부분 냉동수면 하는 분위기 인것 같은데, 나도 그냥 할려고","<space=50>Je ne sais plus quoi penser... On dirait que la plupart des gens choisissent la cryogénisation, alors peut-être que je devrais faire pareil.",<space=50>もう本当にわからん…でもみんな冷凍睡眠するみたいだから俺もと思って,<space=50>不知道该怎么办了……不过大部分人好像还是选择冷冻，我也准备做了。,<space=50>不知道該怎麼辦了……不過大部分人好像還是選擇冷凍，我也準備做了。,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentDesc2,Text,,뭔 얼어죽을 냉동 수면이여...,Je ne vais pas me porter volontaire pour mourir congelé... C'est complètement dingue.,冷凍睡眠しなくてもよくね？,冻死人的冷冻睡眠。。。,凍死人的冷凍睡眠。 。 。,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentDesc3,Text,,<space=50>팩트)냉동수면 안해도 얼어뒤진다.,<space=50>Info amusante : tu vas mourir gelé même si tu refuses la cryogénisation.,<space=50>【本質情報】凍死者乙。,<space=50>真相）不冷冻也会冻死。,<space=50>真相）不冷凍也會凍死。,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentDesc4,Text,,<space=50>팩트)지하철에서 장작 모으고 불피우면 살 수 있다.,"<space=50>Info amusante : moi, je peux survivre en ramassant du bois sous une station de métro.",<space=50>【本質情報】地下鉄で焚き火して暮らせば死なない。,<space=50>真相）在地铁上点篝火就能活着。,<space=50>真相）在地鐵上點火就能活著。,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentDesc5,Text,,<space=50>팩트)그래봤자 한달도 못버틴다.,<space=50>Info amusante : tu ne tiendras même pas un mois.,<space=50>【本質情報】地下凍死者乙。,<space=50>真相）但是撑不过一个月。,<space=50>真相）但是撐不過一個月。,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentDesc6,Text,,응 늬들 영원히 못깨어남ㅋㅋㅋㅋㅋ그렇게 뒤지고 싶으면 뒤지셈ㅋㅋㅋㅅㅅㅅㅅㅅㅅㅅㅅㅅ,PTDRRR TU TE RÉVEILLERAS JAMAIS ALLEZ VA TE FAIRE VOIR,お前ら本当に目覚められると思ってんの？ｗｗｗｗｗ馬鹿じゃねぇの？ｗｗｗｗｗｗ,那你们就准备在冷冻舱里长眠吧，想死就去呗没人拦着，呵呵呵呵,那你們就準備在冷凍艙長眠吧，想死就去嗆沒人攔著，呵呵呵呵,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentDesc7,Text,,<space=50>이새낀 왤케 화남?,<space=50>Pourquoi ce gamin est-il aussi énervé ?,<space=50>おこなの？,<space=50>这人哪来这么大火气？,<space=50>這人哪來這麼大火氣？,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentDesc8,Text,,<space=50>닉값ㅆㅅㅌㅊ ㅋㅋ,<space=50>Son pseudo lui va bien.,<space=50>こいつｗｗｗ名前がｗｗｗ。,<space=50>你看他昵称,<space=50>你看他暱稱,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentWriter0,Text,,하츠바인,Hatzbien,ハツバイン,火心炎,火心炎,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentWriter1,Text,,<sprite name=Icon>냉혹한독수리,<sprite name=Icon>Relentless_Eagle,<sprite name=Icon>冷酷鷲,<sprite name=Icon>红鸟君,<sprite name=Icon>紅鳥君,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentWriter2,Text,,익명23,Anonymous23,ななし23,匿名23,匿名23,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentWriter3,Text,,<sprite name=Icon>익명92,<sprite name=Icon>Anonymous92,<sprite name=Icon>ななし92,<sprite name=Icon>匿名92,<sprite name=Icon>匿名92,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentWriter4,Text,,<sprite name=Icon>익명23,<sprite name=Icon>Anonymous23,<sprite name=Icon>ななし23,<sprite name=Icon>匿名23,<sprite name=Icon>匿名23,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentWriter5,Text,,<sprite name=Icon>익명92,<sprite name=Icon>Anonymous92,<sprite name=Icon>ななし92,<sprite name=Icon>匿名92,<sprite name=Icon>匿名92,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentWriter6,Text,,앵그리가이,xXAngryGuy69Xx,アングリーマン,我生气起来很可怕,我生氣起來很可怕,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentWriter7,Text,,<sprite name=Icon>하츠바인,<sprite name=Icon>Hatzbien,<sprite name=Icon>ハツバイン,<sprite name=Icon>火心炎,<sprite name=Icon>火心炎,,,,,,,,,,,,,,,,,,
Record/Post/DC4_CommentWriter8,Text,,<sprite name=Icon>벚꽃잎선풍,<sprite name=Icon>CherryBlossoms,<sprite name=Icon>さくら旋風,<sprite name=Icon>樱花风扇,<sprite name=Icon>櫻花風扇,,,,,,,,,,,,,,,,,,
Record/Post/DC4_Desc,Text,,"옆나라는 벌써 냉동수면율 70% 넘겼다더라...
지하철에서 생활? 문자 그대로 얼어죽을 소리를 하고있어ㅋㅋ
예상 온도를 생각하면 현실적으로 말이 안됨
그렇게 살다가 얼어죽을 바에 다들 하는 냉동수면에 걸어보는게 나을듯
어쩌면 80년 되기 전에 재앙이 끝날 수도 있잖아","Apparemment, le taux de cryogénisation a déjà dépassé les 70 % dans d'autres pays...
Vivre sous le métro ? Ça ressemble surtout à une excellente façon de mourir, mdr.
D'un point de vue réaliste, ça n'a aucun sens vu les températures prévues.
Je pense qu'il vaut mieux miser sur la cryogénisation.
Qui sait ? Peut-être que la Catastrophe sera terminée dans 80 ans.","他の国は冷凍睡眠率が70％を超えたらしい…
地下鉄の中で生活？凍死の言い間違いだろｗｗｗ
今後の予想気温を考えるとあり得ない。
それよりは冷凍睡眠にかけた方が現実的だろう。
80年以内に厄災が終わるかもしれないし。","邻国冷冻睡眠率已经超过70%了。。。
在地铁生活？怕不是早晚得冻死
在那么低的温度下生活根本就不现实
反正都要冻死，还不如赌一把
搞不好没过80年灾难就结束了","鄰國冷凍睡眠率已經超過70%了。 。 。
在地鐵站生活？我看早晚得凍死
在那麼低的溫度下生活根本就不現實
反正都要凍死，不如賭一把
搞不好沒80年災難就結束了",,,,,,,,,,,,,,,,,,
Record/Post/DC4_Title,Text,,걍 냉동수면 하는게 나을것 같다고 생각함,Je pense que la cryogénisation est la meilleure option.,冷凍睡眠したほうがいいと思う。,我看还是冷冻比较好吧,我看還是冷凍比較好吧,,,,,,,,,,,,,,,,,,
Record/Post/DC4_Writer,Text,,냉혹한독수리,Relentless_Eagle,冷酷鷲,红鸟君,紅鳥君,,,,,,,,,,,,,,,,,,
