Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw],Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Record/Post/TW_CommentDesc0,Text,,"[공익트 RT <sprite name=TW_Heart>]
널리 퍼뜨려주세요.
모든 냉동수면 회사 포드는 NOVA사 시스템을 이용하는데,  NOVA사 시스템에 결함이 발견됐다네요.
>>냉동수면보다 지하철에서 버티는 게 더 안전합니다<<
모두 냉동수면 하지 말고, 계속 깨어있읍시다!


<color=#428ee4>#NOVA사_진실규명 #깨어있기운동 #살인자피터","[Intérêt public RT <sprite name=TW_Heart>]
Merci de partager cette information.
Toutes les capsules de cryogénisation utilisent un système développé par NOVA.
Cependant, un grave défaut a récemment été découvert dans ce système.
>>Le métro est plus sûr que le sommeil cryogénique.<<
Refusez la cryogénisation et restez éveillés !

<color=#428ee4>#VéritéNOVA #StayAwake #PeterAssassin","[RTお願いします<sprite name=TW_Heart>]
周りにも知らせてください。 
冷凍睡眠ポッドは全部NOVA社のシステムを利用してます！
NOVA社のシステムから致命的な欠陥が発見されました！
>>冷凍睡眠を拒否し、地下鉄に潜る方が安全なんです！！<<


皆で冷凍睡眠を拒否して地下で春を待ちましょう！
<color=#428ee4>#NOVA社の真実 #睡眠拒否運動 #人殺しピーター","[公益<sprite name=TW_Heart>]
求转发，求扩散！
所有的冷冻睡眠舱都使用NOVA公司的系统，NOVA公司目前曝出系统存在缺陷。
>>在地铁生活比冷冻更安全<<
不要进入冷冻睡眠，保持清醒！


<color=#428ee4>#NOVA公司_真相 #反冷冻运动 #杀人犯皮特","[公益<sprite name=TW_Heart>]
求轉發，求擴散！
所有的冷凍睡眠艙都使用NOVA公司的系統，NOVA公司目前曝出系統有缺陷。
>>在地鐵生活比冷凍更安全<<
不要進入冷凍睡眠，保持清醒！


<color=#428ee4>#NOVA公司_真相 #反冷凍運動 #殺手皮特",,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc1,Text,,"아 ㅋ
웃긴점 : 인간은 -150도에서 오래 버티지 못함
지하역이 지하벙커가 아니고, 대통령 지하벙커도 글케는 못 버틸듯..",A,"あほかｗｗｗ
人間は−150°Cで生き残れない。地下鉄じゃ無理。
大統領の地下シェルターだって生き残れるかよ。","笑死
人类在零下150度的温度下活不了多长时间
地铁又不是地堡，美国总统的地堡都不一定能行。。","笑死
人類在零下150度的溫度下活不了多久
地鐵又不是地下堡壘，美國總統的地下堡壘都不一定能行。 。",,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc10,Text,,"우리 귀염둥이들! 당분간 방송을 쉬어야 할 것 같아ㅠㅠ
나중에 만날수 있을테니까 다들 몸조심하고 다시 만나자!","Mes chéris ! Je vais devoir faire une petite pause dans mes streams ㅠㅠ
Prenez bien soin de vous, et j'espère qu'on se reverra très bientôt !","キミたち！しばらく配信はできなさそうだよ(╥_╥)
後で必ずまた会えるから！みんな元気でね！","小可爱们！我要停播一段时间了呜呜呜
相信我们以后还会再见的，大家注意身体，我们未来见！","小可愛們！我要停播一段時間了嗚嗚嗚
相信我們以後還會再見的，大家注意身體，我們未來見！",,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc2,Text,,NOVA사 제품 불매합니다. <color=#428ee4><space=300>#NO_NOVA,Boycottez les produits NOVA. <color=#428ee4><space=300>#NON_NOVA,NOVA社不買運動を支持します。<color=#428ee4><space=300>#NO_NOVA,抵制NOVA产品<color=#428ee4><space=300>#NO_NOVA,抵制NOVA產品<color=#428ee4><space=300>#NO_NOVA,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc3,Text,,"@ : 소신발언...
님들아 냉동 수면 하는 거 생각보다 괜찮다고 생각함. 죽는다고 해도 천천히 얼어죽는 거보단 낫잖어
해동이 안 돼는 게 문제지 80년 되기 전에 깨어나거나.. 넘더라도 수동으로 깨워줄 사람 있으면?
괜찮? 을듯...?","@: Message important...
Les gars, je pense que le sommeil cryogénique est la meilleure option. Même si nous mourons pendant la cryogénisation, c'est toujours mieux que de mourir lentement de froid.
Le problème, c'est le réveil. Nous pouvons nous réveiller naturellement dans 80 ans, ou bien il faudra compter sur quelqu'un pour nous réveiller si cette durée est dépassée...
Ça devrait aller... Enfin, je crois... ?","@：不安だけど…
冷凍睡眠は思ったよりいいと思う。
死んだとしても外で野垂れ死にするよりはましだろ。
解凍できないのが問題なら80年経つ前に起きるとか…越えても誰か
手動で起してくれるとか？　それならいいんじゃね？","@：先声明我不是水军……
我觉得冷冻睡眠挺好的，就算死也总比慢慢冻死要强吧。
现在的问题是它不能自动解冻，如果能在80年之前醒过来，或者就算超过80年，如果有人手动叫醒的话。。
好像也没什么问题吧？","@：先聲明我不是水軍……
我覺得冷凍睡眠挺好的，就算死也總比慢慢凍死要強吧。
現在的問題是它不能自動解凍，如果能在80年之前醒過來，或者就算超過80年，如果有人手動叫醒的話。 。
好像也沒什麼問題吧？",,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc4,Text,,민초님은 제가 깨워드림 님은 저 깨워주기,"Mint Chocolate Je te réveillerai, alors réveille-moi aussi, d'accord ?",ミントチョコさんは私が起こしますから！,我负责叫醒香草可爱多，请冷冻人唤醒组织务必叫醒我,我負責叫醒香草可愛多，請冷凍人喚醒組織務必叫醒我,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc5,Text,,드르렁,Zzzz ( ˘ω˘),( ˘ω˘)ｽﾔｧ,zzZZZZZZ,zzZZZZZZ,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc6,Text,,"아니 근데 이거 못 일어나면 천천히 녹아서 죽을 거라고 하던데...좀 무섭;
글케 하고 싶진 않은데 가족 따라서 같이 할려구요
ㅇㅇ역 갈 건데 사람 별로 없으면 좋겠다","Apparemment, si on ne se réveille pas, on finit par fondre lentement jusqu'à mourir... C'est plutôt effrayant.
Je n'en ai pas envie, mais je respecte la décision de ma famille.
Je vais à la station OO, alors j'espère qu'il n'y aura pas trop de monde.","でもこれ起きられないと少しずつ溶けて死ぬらしいから…少し怖い。
あんまりやりたくはないけど、家族全員がやるから俺もやる。
これから○○駅に向かうけど人多そうだな…","听说如果醒不过来的话会慢慢融化而死。。有点吓人
我是不太想去，但是家里人都要去我也只能跟着了
我们准备去XX站，希望那里人不多","聽說如果醒不過來的話會慢慢融化而死。 。有點嚇人
我是不太想去，但家裡人都要去我也只能跟著了
我們準備去XX站，希望那裡人不多",,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc7,Text,,"모두 함께 냉동수면에 든 사람을 깨웁시다!
생존권을 지키는 냉동수면 깨우기 캠페인에 참여합시다.
작은 행동과 목소리가 모여 여러 사람을 구합니다.
늦기 전에 주변에 캠페인 참여 독려 부탁드립니다.","Réveillons nos semblables plongés dans le sommeil cryogénique !
Participez à la campagne de réveil des dormeurs cryogéniques afin de protéger notre droit à vivre.
Les petits gestes et les voix de chacun s'unissent pour sauver de nombreuses vies.
Encouragez les personnes autour de vous à participer avant qu'il ne soit trop tard.","一致団結して冷凍睡眠した人達を起こしましょう！
人間の生存権を守るため冷凍睡眠拒否運動に参加してください！
一人一人の行動と声を集めて人類を救うんです！
手遅れになる前に行動するべきです！","唤醒进入冷冻睡眠的人！
请大家加入冷冻人唤醒组织，保护我们的生存权！
再微小的力量，聚集在一起也能创造奇迹。
请大家积极转告周围的人，一起加入冷冻人唤醒组织。","喚醒進入冷凍睡眠的人！
請大家加入冷凍人喚醒組織，保護我們的生存權！
再微小的力量，聚集在一起也能創造奇蹟。
請大家積極轉告周圍的人，一起加入冷凍人喚醒組織。",,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc8,Text,,"제발 글 내려주세요.
며칠 전 지역 쉘터에서 냉동수면 했었는데,
이 사람같이 말하는 분들이 강제로 깨우고 기계를 부쉈습니다.
함께 있던 분들은 결함을 알면서도 안 하는 것보다 낫다고 생각해
스스로 냉동수면에 들어간 사람들이었어요.","Je vous en prie, supprimez cette publication.
Il y a quelques jours, j'étais en sommeil cryogénique dans un refuge local,
et des personnes tenant ce genre de discours ont forcé l'ouverture de ma capsule et m'ont réveillé.
Les participants qui étaient avec moi connaissaient tous les risques, mais avaient malgré tout choisi volontairement le sommeil cryogénique.","こんなふざけた真似はマジで勘弁してくれ。
十日前に冷凍睡眠に入ったのに
お前らみたいな能無しに強制的に起こされてポッドも壊されたんだ。
冷凍睡眠に入る方を選択した人達もいるんだよ。","麻烦楼上赶紧删评论吧。
几天前我本来已经进入冷冻睡眠了，
结果这些人强制把我弄醒，还把机器砸碎了。
和我一起进入冷冻睡眠的都是知道系统缺陷的人，
我们都觉得冷冻总比等死要好，所以主动选择冷冻的。 ","麻煩樓上趕緊刪評論吧。
幾天前我本來已經進入冷凍睡眠了，
結果這些人強制把我弄醒，還把機器砸碎了。
和我一起進入冷凍睡眠的都是知道系統缺陷的人，
我們都覺得冷凍總比等死好，所以主動選擇冷凍的。",,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentDesc9,Text,,지하철로 가시면 됩니다. 냉동수면 들어가면 죽는다고요.,Allez à la station de métro. La cryogénisation est désormais une mort certaine.,地下鉄の駅に向かってください！ポッドに入ると死んじゃうんです！,去地铁站就行，别冷冻，会死的。,去地鐵站就行，別冷凍，會死的。,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter0,Text,,메인트 RT 부탁드립니다  <sprite name=TW_Fire>,Merci de repartager <sprite name=TW_Fire>,RTお願いします<sprite name=TW_Fire>,求置顶 <sprite name=TW_Fire>,求置頂 <sprite name=TW_Fire>,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter1,Text,,마라맛 감튀킬러<space=100><sprite name=TW_Lock>,Spicy Fries Enjoyer<space=100><sprite name=TW_Lock>,ポテチを食う<space=100><sprite name=TW_Lock>,麻辣薯条杀手<space=100><sprite name=TW_Lock>,辣薯條殺手<space=100><sprite name=TW_Lock>,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter10,Text,,-,-,-,-,-,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter2,Text,,<space=40>네모네모 멈뭄미,<space=40>Square Doggo,<space=40>ワンちゃんのワンチャン,<space=40>若世界处于黑夜,<space=40>若世界處於黑夜,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter3,Text,,민트초코 광인,Mint Chocolate Maniac,ミントチョコ,香草可爱多,香草可愛多,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter4,Text,,미중년은 세상을 구해,Middle-Aged Prosperity,世界を救う美中年,美中年拯救世界,美中年拯救世界,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter5,Text,,민트초코 광인,Mint Chocolate Maniac,ミントチョコ,香草可爱多,香草可愛多,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter6,Text,,환영검,Illusion_Sword,幻影の刃,幻影剑,幻影劍,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter7,Text,,냉동수면 깨우기 캠페인중인 개골,Campagne contre la cryogénisation,冷凍睡眠拒否運動本部,加入冷冻人唤醒组织,加入冷凍人喚醒組織,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter8,Text,,유국적 탁상공론,Théoricien de salon,エンドレスワルツ,国际空想家,國際空想家,,,,,,,,,,,,,,,,,,
Record/Post/TW_CommentWriter9,Text,,8호선철도덕후,Passionné de la ligne 8,8号線オタク,8号线地铁死宅,8號地鐵死宅,,,,,,,,,,,,,,,,,,
Record/Record/AfterWorld_Desc,Text,,"방주 프로젝트가 끝나고, 인류는 다시 잃어버린 문명을 재건하기 시작한다.
프로젝트에 참가한 사람들은, 저마다 가상 세계에서의 일을 통해 배우고, 성장하고, 바뀌게 되었다.
이 이야기는 모두의 마지막 발차쥐이자, 미래로 이어지는 이야기.","Le projet Arche est terminé, et l'humanité commence à reconstruire la civilisation qu'elle avait perdue.
Les participants au projet ont appris, grandi et changé au fil des événements vécus dans le monde virtuel.
Cette histoire représente les derniers pas de chacun d'entre eux, une histoire qui ouvre la voie vers l'avenir.","アークプロジェクトは終わり、人類は失われた文明の再建を始める。
プロジェクトの参加者達は各々仮想世界の生活で学び、成長し、変わってしまった。
この物語は皆の最後の足跡であり、未来へ繋がる物語。 ","方舟项目结束后，人类开始重建失去的文明。
参加项目的每个人都通过虚拟世界获得了成长，并发生了改变。
这是关于每个人的最后一瞥，也是通向未来的故事。","方舟計畫結束後，人類開始重建失落的文明。
參加計畫的每個人都透過虛擬世界獲得了成長，並發生了改變。
這是關於每個人的最後一瞥，也是通往未來的故事。",,,,,,,,,,,,,,,,,,
Record/Record/AfterWorld_Title,Text,,현실 세계의 이야기,Histoire du monde réel,現実世界の物語,现实世界的故事,現實世界的故事,,,,,,,,,,,,,,,,,,
Record/Record/AshenOrder_Desc,Text,,"사회현상이 된 ""잿더미단""에 대해 누군가가 서술한 인터넷 게시글.
""잿더미단""으로 인해 발생한 각종 문제점을 지적하고 있다.","Un article publié sur Internet à propos de « l'Ordre Cendré », devenu un véritable phénomène de société.
Il critique les nombreux problèmes engendrés par « l'Ordre Cendré ».","社会現象になってしまった「灰燼団」について誰かがネット上に書いたもの。
「灰燼団」による社会問題を指摘している。","有人在网络上发布的探讨“灰烬团”这一社会现象的网络帖子。
文章指出了因“灰烬团”而发生的各种社会问题。","有人在網路上發布的探討「灰燼團」這個社會現象的網路貼文。
文章指出了因「灰燼團」而發生的各種社會問題。",,,,,,,,,,,,,,,,,,
Record/Record/AshenOrder_Title,Text,,"과열되는 정의, ""잿더미단"" 이대로 괜찮은가",Justice en surchauffe : faut-il laisser « l'Ordre Cendré » agir librement ?,加熱した正義「灰燼団」、このままで大丈夫なのか。,越来越过激的正义，“灰烬团”还要被放任到何时？,越來越過激的正義，「灰燼團」還要被放任到何時？,,,,,,,,,,,,,,,,,,
Record/Record/AshenOrder_Year,Text,,"Ç}±ßLwùï년, 6월 6일","Année Ç}±ßLwùï, 6 juin",Ç}±ßLwùï年、6月6日,Ç}±ßLwùï年，6月6日,Ç}±ßLwùï年，6月6日,,,,,,,,,,,,,,,,,,
Record/Record/AzarClyne_Desc,Text,,"방주 프로젝트에서 쓰일 가상 세계 프로그램을 만드는 아자르.
클라인은 그런 아자르의 재능을 높이 평가하며 어째서 게임 개발자가 된 건지 물어본다.","Azar est en train de développer le programme du monde virtuel pour le projet Arche. 
Clyne admire énormément le talent d'Azar et lui demande pourquoi il est devenu développeur de jeux vidéo.","アークプロジェクトで使われる仮想世界プログラムを作っているアザール。
クラインはアザールの才能を高く評価し、どうしてゲーム開発者になったのか尋ねる。","阿扎尔正在编写用于方舟项目的虚拟世界程序。
克莱因十分赞赏阿扎尔的天赋，并询问他为什么会成为一个游戏开发者。","阿札爾正在編寫用於方舟計畫的虛擬世界程式。
克萊因十分讚賞阿札爾的天賦，並詢問他為什麼會成為一個遊戲開發者。",,,,,,,,,,,,,,,,,,
Record/Record/AzarClyne_Title,Text,,개발팀 녹음기록 : 클라인 / 아자르,Archives de développement : Clyne / Azar,開発部録音記録：クライン・アザール,开发组的录音记录：克莱因/阿扎尔,開發小組的錄音記錄：克萊因/阿扎爾,,,,,,,,,,,,,,,,,,
Record/Record/AzarClyne_Year,Text,,Ç}±ßLw÷년 10월 11일,"Année Ç}±ßLw÷, 11 octobre",Ç}±ßLw÷年10月11日,Ç}±ßLw÷年10月11日,Ç}±ßLw÷ 年10月11日,,,,,,,,,,,,,,,,,,
Record/Record/Betrayal_Desc,Text,,"어두운 방 안에서 수상한 행동을 하고 있는 정체불명의 그림자.
그 인물은 다급한 숨을 내쉬면서, 누군가를 향한 뚜렷한 적의를 드러낸다.","Une ombre non identifiée agit de manière suspecte dans une pièce plongée dans l'obscurité. 
Le coupable respire avec difficulté, révélant une hostilité manifeste envers une certaine personne.","真っ暗な部屋で怪しく動く正体不明の影。
その人物は乱れた吐息を漏らしながら、誰かに対して明確な敵意を向けている。","一个行为可疑的神秘身影出现在漆黑的房间里。
这个人急促的喘息着，明显表露出对某个人的敌意。","一個行為可疑的神祕身影出現在漆黑的房間裡。
這個人急促的喘息著，明顯表露出對某個人的敵意。",,,,,,,,,,,,,,,,,,
Record/Record/Betrayal_Title,Text,,배신,Trahison,裏切り,背叛,背叛,,,,,,,,,,,,,,,,,,
Record/Record/Betrayal_Year,Text,,Ç}±ßLw÷ö년 4월 23일,"Année Ç}±ßLw÷ö, 23 avril",Ç}±ßLw÷ö年4月23日,Ç}±ßLw÷ö年4月23日,Ç}±ßLw÷ ö年4月23日,,,,,,,,,,,,,,,,,,
Record/Record/BetrayerAlly_Desc,Text,,"감옥에 갇힌 배신자에게 자신이 한 짓을 털어놓은 피닉스.
이제는 피닉스도 방주 프로젝트의 배신자나 다름 없으며, 배신자는 그 점을 노리고 피닉스에게 동맹을 제안한다.
그들은 가상 세계 내부에서 가상 세계를 마음대로 주무를 수 있는 마스터 권한을 이용해 가상 세계를 영원한 세계로 만들기 위한 계획에 착수하는데...","Phoenix avoue ses actes au traître emprisonné.
Phoenix est désormais devenu un traître au projet Arche à son tour, et le prisonnier profite de cette situation pour lui proposer une alliance.
Ils commencent alors à élaborer un plan visant à rendre le monde virtuel éternel en utilisant les Autorisations Maîtres afin de manipuler ce monde à leur guise...","牢獄の裏切り者に、自分のしたことを全て打ち明けたフェニックス。
もはやフェニックスもアークプロジェクトを裏切ったようなもの。
裏切り者はその点をつき、フェニックスに同盟を提案する。
彼らは仮想世界を思うままに操れるマスター権限を利用して、
仮想世界を永遠のものにする計画に着手する…。","凤凰向关在监狱里的叛徒坦白了自己所犯下的事情。
此时的凤凰也变成了方舟的叛徒，叛徒借着这个机会建议凤凰和自己结成同盟。
他们着手计划着利用能够随心所欲地操纵虚拟世界的管理员权限，创造出永恒的世界……","鳳凰向關在監獄裡的叛徒坦白了自己所犯下的事。
此時的鳳凰也變成了方舟的叛徒，叛徒藉著這個機會建議鳳凰和自己結盟。
他們著手計劃著利用能夠隨心所欲地操縱虛擬世界的管理員權限，創造出永恆的世界……",,,,,,,,,,,,,,,,,,
Record/Record/BetrayerAlly_Title,Text,,영생의 시작,Début de la vie éternelle,永生の始まり,永生的开始,永生的開始,,,,,,,,,,,,,,,,,,
Record/Record/CallerPeter_Desc,Text,,"방주 프로젝트의 총책임자 클라인과 NOVA 사 CEO 피터의 통화 내역.
클라인은 피터의 상태가 이상하다는 것을 깨닫지만, 그에게 해줄 수 있는 말은 없었다.","Un appel entre Clyne, directeur exécutif du projet Arche, et Peter, PDG de NOVA. 
Clyne remarque que Peter se comporte de manière étrange, mais il ne trouve pas vraiment quoi lui répondre.","アークプロジェクト総責任者、クラインとNOVA社のCEO、ピーターの通話履歴。
クラインはピーターの様子がおかしいことに気づくが、彼にできることはなかった。","方舟项目的总负责人克莱因和NOVA公司CEO皮特的通话内容。
克莱因意识到皮特的精神状态不太好，但他不知道该如何安慰他。","方舟計畫的總負責人克萊因和NOVA公司CEO皮特的通話內容。
克萊因意識到皮特的精神狀態不太好，但他不知道該如何安慰他。",,,,,,,,,,,,,,,,,,
Record/Record/CallerPeter_Title,Text,,발신자 : 피터,De : Peter,発信：ピーター,来电：皮特,來電：皮特,,,,,,,,,,,,,,,,,,
Record/Record/CallerPeter_Year,Text,,Ç}±ßóüwL년 12월 24일,"Année Ç}±ßóüwL, 24 décembre",Ç}±ßóüwL年12月24日,Ç}±ßóüwL年12月24日,Ç}±ßó üwL年12月24日,,,,,,,,,,,,,,,,,,
Record/Record/Chiyo_Desc,Text,,"순조롭게 안착되어 가는 '방주 프로젝트'.
클라인과 그의 조수 치요는 프로젝트를 관리하며 시시콜콜한 이야기를 나눈다.","Le projet Arche progresse sans encombre. 
Clyne et son assistante Chiyo gèrent le projet tout en discutant tranquillement.","順調に進む「アークプロジェクト」。
クラインとその助手チヨは、プロジェクトを管理しながら雑談をしている。","“方舟项目”顺利启动。
克莱因和他的助手七曜一边管理着项目，一边聊着日常生活中的琐事。","「方舟計畫」順利啟動。
克萊因和他的助手七曜一邊管理計畫內容，一邊聊著日常瑣事。",,,,,,,,,,,,,,,,,,
Record/Record/Chiyo_Title,Text,,새하얀 소녀,La jeune fille en blanc immaculé,真っ白な少女,雪白的少女,雪白的少女,,,,,,,,,,,,,,,,,,
Record/Record/Chiyo_Year,Text,,1년 5월 20일,"Année 1, 20 mai",1年5月20日,1年5月20日,1年5月20日,,,,,,,,,,,,,,,,,,
Record/Record/ContinuityOfMemory_Desc,Text,,"예상치 못하게 남아 버린 데이터를 삭제하려고 하는 클라인.
하지만 그 때, 한층 더 예상치 못한 일이 클라인을 찾아오는데...","Clyne tente de supprimer des données laissées derrière elles de façon inattendue. 
Mais à cet instant, quelque chose d'encore plus inattendu se produit...","なぜか残されてしまったデータを廃棄しようとしているクライン。
しかし、予想外のことがクラインに訪れる。","克莱因准备删除意外留下的数据。
然而就在这时，更加意外的事情找上了他……","克萊因準備刪除意外留下的資料。
然而就在這時，更意外的事情找上了他……",,,,,,,,,,,,,,,,,,
Record/Record/ContinuityOfMemory_Title,Text,,목격,Témoin,目撃,目击,目擊,,,,,,,,,,,,,,,,,,
Record/Record/ContinuityOfMemory_Year,Text,,Ç}±ßLw÷ö년 4월 29일,"Année Ç}±ßLw÷ö, 29 avril",Ç}±ßLw÷ö年4月29日,Ç}±ßLw÷ö年4月29日,Ç}±ßLw÷ ö年4月29日,,,,,,,,,,,,,,,,,,
Record/Record/DiaryDaughter_Desc,Text,,"방주 프로젝트 총책임자 클라인의 외동딸, 루시가 쓴 일기.
루시는 클라인에 의해 바깥과 완전히 단절된 무미건조한 저택에 갇히게 된다.
루시는 어떻게든 친구들과 다시 만나기 위해 저택을 빠져나가려 하는데...","Le journal de Lucy, fille unique du directeur exécutif Clyne. 
Lucy est enfermée par son père dans un manoir lugubre, totalement coupée du monde extérieur. 
Elle cherche un moyen de s'échapper afin de retrouver ses amis...","アークプロジェクトの総責任者、クラインの一人娘、ルシーが書いた日記。
ルシーはクラインによって外と完全に断絶されている無味乾燥な屋敷に閉じ込められる。
ルシーは何とかしても友達とまた会うために屋敷を抜け出そうとするが…","方舟项目的总负责人克莱因的独生女露西写的日记。
露西被克莱因关在一个与外界完全隔绝的住宅里。
为了重新见到外面的朋友，露西想方设法逃出住宅……","方舟計畫的總負責人克萊因的獨生女露西寫的日記。
露西被克萊因關在一個與外界完全隔絕的住宅。
為了重新見到外面的朋友，露西想辦法逃出住宅……",,,,,,,,,,,,,,,,,,
Record/Record/DiaryDaughter_Title,Text,,딸의 일기,Journal de la fille,娘の日記,女儿的日记,女兒的日記,,,,,,,,,,,,,,,,,,
Record/Record/DiaryDaughter_Year,Text,,(2) 1년 6월 10일,"(2) Année 1, 10 juin",(2)1年6月10日,（2）1年6月10日,（2）1年6月10日,,,,,,,,,,,,,,,,,,
